DATE_TRANSPA,GROUPE,CANTON,AFFECTATION,LIBELLE,TYPE_SIM,VM_INIT,VM_RC_GLOBAL_VAR95,VM_RC_GLOBAL_VAR99,VM_RC_TAUX_VAR95,VM_RC_TAUX_VAR99,FLUX1,FLUX2,FLUX3,FLUX4,FLUX5,FLUX6,FLUX7,FLUX8,FLUX9,FLUX10,FLUX11,FLUX12,FLUX13,FLUX14,FLUX15,FLUX16,FLUX17,FLUX18,FLUX19,FLUX20,FLUX21,FLUX22,FLUX23,FLUX24,FLUX25,FLUX26,FLUX27,FLUX28,FLUX29,FLUX30,FLUX31,FLUX32,FLUX33,FLUX34,FLUX35,FLUX36,FLUX37,FLUX38,FLUX39,FLUX40,FLUX41,FLUX42,FLUX43,FLUX44,FLUX45,FLUX46,FLUX47,FLUX48,FLUX49,FLUX50,FLUX51,FLUX52,FLUX53,FLUX54,FLUX55,FLUX56,FLUX57,FLUX58,FLUX59,FLUX60,FLUX61,FLUX62,FLUX63,FLUX64,FLUX65,FLUX66,FLUX67,FLUX68,FLUX69,FLUX70,FLUX71,FLUX72,FLUX73,FLUX74,FLUX75,FLUX76,FLUX77,FLUX78,FLUX79,FLUX80,FLUX81,FLUX82,FLUX83,FLUX84,FLUX85,FLUX86,FLUX87,FLUX88,FLUX89,FLUX90,FLUX91,FLUX92,FLUX93,FLUX94,FLUX95,FLUX96,FLUX97,FLUX98,FLUX99,FLUX100,indic_tod
31DEC2024,CGP,CGP AG,MDD,PASSIF,TAUX,4469031208.39,5387581577.01,5276744825.82,5360841265.13,5645672699.65,180410609.02,195551026.78,175300574.72,177627611.67,179368415.55,180554798.61,181254792.3,180915380.46,180892391.94,179796624.01,177767187.14,174798144.81,170932979.2,166639195.26,162267444.04,157514071.0,152400340.72,146982252.9,141290741.7,135352911.58,129201225.94,122861974.16,116363195.59,109738999.74,103028117.36,96272600.54,89516689.71,82805555.16,76184135.15,69695973.55,63382332.56,57281380.98,51427623.72,45851410.39,40578648.138,35630672.564,31021153.741,26745504.264,22813688.116,19238427.06,16025961.882,13176013.899,10681929.977,8530987.062,6704895.018,5180506.857,3930740.8423,2925685.9647,2133837.4608,1523382.1259,1063436.1447,725135.3022,482491.1161,312955.67682,197676.54529,121463.38964,72520.80916,42021.474641,23598.146585,12823.932004,6732.365959,3408.0979246,1660.2730126,776.6596851,348.07662346,149.10013309,60.89076056,23.646629705,8.709846224,3.034146359,0.9962637560000001,0.30720346400000004,0.088592472,0.023645288,0.005795184,0.0012775710000000001,0.00025044600000000003,4.261000000000001e-05,5.589e-06,5.26e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
31DEC2024,CGP,CGP RS,RS,PASSIF,TAUX,2135597362.77,2596058994.05,2588198126.71,2573562873.55,2922105589.98,45188963.4791,51564033.6967,53594664.0332,57290956.8293,60685954.5044,62878814.5498,68490358.9992,69852454.1043,74484094.0004,79335430.4405,82747231.1685,86190905.7435,78161949.2134,84798966.8179,90286355.7031,91858582.448,93798804.8999,96855361.3921,97603294.5137,100095815.838,101503023.365,103909946.828,103719826.652,102897543.985,102107297.432,102722971.425,102422849.806,98968054.0316,98989031.8462,97785280.0039,96628112.413,94319480.5822,90081713.0134,86574111.1575,81609595.6988,77057655.6263,72392081.064,65813870.5129,59952975.7841,54153460.9226,48994322.6639,44357003.2143,39820259.4409,36058787.6066,32859864.7696,30227192.5194,27817498.8339,25562838.6231,23431708.6509,21401118.149,19471659.1851,17644379.6908,15920212.5172,14299911.1122,12783887.8546,11372179.4678,10064298.2202,8859277.92602,7755537.85694,6750850.6789,5842333.49302,5026330.98722,4298557.16186,3654102.65093,3087803.12175,2593912.56059,2166539.32977,1799373.8151,1486304.03313,1221075.60528,998074.927556,811741.613988,656865.889867,528722.317718,423127.126311,336437.768972,265367.673737,207794.023607,161629.626534,124945.742709,95642.4575666,72158.0480283,53365.4529725,38560.0479287,27137.9546105,18727.5308438,12559.5011835,8083.28090611,5070.16501481,3181.05829116,2033.86148725,1336.73936452,892.702929005,615.476279963,432.507975667,299.755860903,201.233240329,128.929963729,77.3272237728,41.8611217242,0
31MAR2025,CGP,CGP AG,MDD,PASSIF,TAUX,4244303056.71,5272549378.91,4992278606.86,4819790763.8,5332590467.75,180410609.02,195551026.78,175300574.72,177627611.67,179368415.55,180554798.61,181254792.3,180915380.46,180892391.94,179796624.01,177767187.14,174798144.81,170932979.2,166639195.26,162267444.04,157514071.0,152400340.72,146982252.9,141290741.7,135352911.58,129201225.94,122861974.16,116363195.59,109738999.74,103028117.36,96272600.54,89516689.71,82805555.16,76184135.15,69695973.55,63382332.56,57281380.98,51427623.72,45851410.39,40578648.138,35630672.564,31021153.741,26745504.264,22813688.116,19238427.06,16025961.882,13176013.899,10681929.977,8530987.062,6704895.018,5180506.857,3930740.8423,2925685.9647,2133837.4608,1523382.1259,1063436.1447,725135.3022,482491.1161,312955.67682,197676.54529,121463.38964,72520.80916,42021.474641,23598.146585,12823.932004,6732.365959,3408.0979246,1660.2730126,776.6596851,348.07662346,149.10013309,60.89076056,23.646629705,8.709846224,3.034146359,0.9962637560000001,0.30720346400000004,0.088592472,0.023645288,0.005795184,0.0012775710000000001,0.00025044600000000003,4.261000000000001e-05,5.589e-06,5.26e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
31MAR2025,CGP,CGP RS,RS,PASSIF,TAUX,2021071128.81,2302988105.73,2442847223.32,2429029518.02,2754023165.84,45188963.4791,51564033.6967,53594664.0332,57290956.8293,60685954.5044,62878814.5498,68490358.9992,69852454.1043,74484094.0004,79335430.4405,82747231.1685,86190905.7435,78161949.2134,84798966.8179,90286355.7031,91858582.448,93798804.8999,96855361.3921,97603294.5137,100095815.838,101503023.365,103909946.828,103719826.652,102897543.985,102107297.432,102722971.425,102422849.806,98968054.0316,98989031.8462,97785280.0039,96628112.413,94319480.5822,90081713.0134,86574111.1575,81609595.6988,77057655.6263,72392081.064,65813870.5129,59952975.7841,54153460.9226,48994322.6639,44357003.2143,39820259.4409,36058787.6066,32859864.7696,30227192.5194,27817498.8339,25562838.6231,23431708.6509,21401118.149,19471659.1851,17644379.6908,15920212.5172,14299911.1122,12783887.8546,11372179.4678,10064298.2202,8859277.92602,7755537.85694,6750850.6789,5842333.49302,5026330.98722,4298557.16186,3654102.65093,3087803.12175,2593912.56059,2166539.32977,1799373.8151,1486304.03313,1221075.60528,998074.927556,811741.613988,656865.889867,528722.317718,423127.126311,336437.768972,265367.673737,207794.023607,161629.626534,124945.742709,95642.4575666,72158.0480283,53365.4529725,38560.0479287,27137.9546105,18727.5308438,12559.5011835,8083.28090611,5070.16501481,3181.05829116,2033.86148725,1336.73936452,892.702929005,615.476279963,432.507975667,299.755860903,201.233240329,128.929963729,77.3272237728,41.8611217242,0
30JUN2025,CGP,CGP AG,MDD,PASSIF,TAUX,4245513643.21,5274226965.28,4993825444.34,5071295749.34,5334296372.27,180410609.02,195551026.78,175300574.72,177627611.67,179368415.55,180554798.61,181254792.3,180915380.46,180892391.94,179796624.01,177767187.14,174798144.81,170932979.2,166639195.26,162267444.04,157514071.0,152400340.72,146982252.9,141290741.7,135352911.58,129201225.94,122861974.16,116363195.59,109738999.74,103028117.36,96272600.54,89516689.71,82805555.16,76184135.15,69695973.55,63382332.56,57281380.98,51427623.72,45851410.39,40578648.138,35630672.564,31021153.741,26745504.264,22813688.116,19238427.06,16025961.882,13176013.899,10681929.977,8530987.062,6704895.018,5180506.857,3930740.8423,2925685.9647,2133837.4608,1523382.1259,1063436.1447,725135.3022,482491.1161,312955.67682,197676.54529,121463.38964,72520.80916,42021.474641,23598.146585,12823.932004,6732.365959,3408.0979246,1660.2730126,776.6596851,348.07662346,149.10013309,60.89076056,23.646629705,8.709846224,3.034146359,0.9962637560000001,0.30720346400000004,0.088592472,0.023645288,0.005795184,0.0012775710000000001,0.00025044600000000003,4.261000000000001e-05,5.589e-06,5.26e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
30JUN2025,CGP,CGP RS,RS,PASSIF,TAUX,1986492802.91,2260033466.62,2395955536.34,2382267921.81,2698068196.53,45188963.4791,51564033.6967,53594664.0332,57290956.8293,60685954.5044,62878814.5498,68490358.9992,69852454.1043,74484094.0004,79335430.4405,82747231.1685,86190905.7435,78161949.2134,84798966.8179,90286355.7031,91858582.448,93798804.8999,96855361.3921,97603294.5137,100095815.838,101503023.365,103909946.828,103719826.652,102897543.985,102107297.432,102722971.425,102422849.806,98968054.0316,98989031.8462,97785280.0039,96628112.413,94319480.5822,90081713.0134,86574111.1575,81609595.6988,77057655.6263,72392081.064,65813870.5129,59952975.7841,54153460.9226,48994322.6639,44357003.2143,39820259.4409,36058787.6066,32859864.7696,30227192.5194,27817498.8339,25562838.6231,23431708.6509,21401118.149,19471659.1851,17644379.6908,15920212.5172,14299911.1122,12783887.8546,11372179.4678,10064298.2202,8859277.92602,7755537.85694,6750850.6789,5842333.49302,5026330.98722,4298557.16186,3654102.65093,3087803.12175,2593912.56059,2166539.32977,1799373.8151,1486304.03313,1221075.60528,998074.927556,811741.613988,656865.889867,528722.317718,423127.126311,336437.768972,265367.673737,207794.023607,161629.626534,124945.742709,95642.4575666,72158.0480283,53365.4529725,38560.0479287,27137.9546105,18727.5308438,12559.5011835,8083.28090611,5070.16501481,3181.05829116,2033.86148725,1336.73936452,892.702929005,615.476279963,432.507975667,299.755860903,201.233240329,128.929963729,77.3272237728,41.8611217242,0
30SEP2025,CGP,CGP AG,MDD,PASSIF,TAUX,4073016178.15,4834430303.89,4809223683.53,4886202728.37,5144929172.85,45102652.255,195551026.78,175300574.72,177627611.67,179368415.55,180554798.61,181254792.3,180915380.46,180892391.94,179796624.01,177767187.14,174798144.81,170932979.2,166639195.26,162267444.04,157514071.0,152400340.72,146982252.9,141290741.7,135352911.58,129201225.94,122861974.16,116363195.59,109738999.74,103028117.36,96272600.54,89516689.71,82805555.16,76184135.15,69695973.55,63382332.56,57281380.98,51427623.72,45851410.39,40578648.138,35630672.564,31021153.741,26745504.264,22813688.116,19238427.06,16025961.882,13176013.899,10681929.977,8530987.062,6704895.018,5180506.857,3930740.8423,2925685.9647,2133837.4608,1523382.1259,1063436.1447,725135.3022,482491.1161,312955.67682,197676.54529,121463.38964,72520.80916,42021.474641,23598.146585,12823.932004,6732.365959,3408.0979246,1660.2730126,776.6596851,348.07662346,149.10013309,60.89076056,23.646629705,8.709846224,3.034146359,0.9962637560000001,0.30720346400000004,0.088592472,0.023645288,0.005795184,0.0012775710000000001,0.00025044600000000003,4.261000000000001e-05,5.589e-06,5.26e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
30SEP2025,CGP,CGP RS,RS,PASSIF,TAUX,1923226630.03,2585089406.93,2324304792.79,2344474451.81,2508754842.45,11297240.8698,51564033.6967,53594664.0332,57290956.8293,60685954.5044,62878814.5498,68490358.9992,69852454.1043,74484094.0004,79335430.4405,82747231.1685,86190905.7435,78161949.2134,84798966.8179,90286355.7031,91858582.448,93798804.8999,96855361.3921,97603294.5137,100095815.838,101503023.365,103909946.828,103719826.652,102897543.985,102107297.432,102722971.425,102422849.806,98968054.0316,98989031.8462,97785280.0039,96628112.413,94319480.5822,90081713.0134,86574111.1575,81609595.6988,77057655.6263,72392081.064,65813870.5129,59952975.7841,54153460.9226,48994322.6639,44357003.2143,39820259.4409,36058787.6066,32859864.7696,30227192.5194,27817498.8339,25562838.6231,23431708.6509,21401118.149,19471659.1851,17644379.6908,15920212.5172,14299911.1122,12783887.8546,11372179.4678,10064298.2202,8859277.92602,7755537.85694,6750850.6789,5842333.49302,5026330.98722,4298557.16186,3654102.65093,3087803.12175,2593912.56059,2166539.32977,1799373.8151,1486304.03313,1221075.60528,998074.927556,811741.613988,656865.889867,528722.317718,423127.126311,336437.768972,265367.673737,207794.023607,161629.626534,124945.742709,95642.4575666,72158.0480283,53365.4529725,38560.0479287,27137.9546105,18727.5308438,12559.5011835,8083.28090611,5070.16501481,3181.05829116,2033.86148725,1336.73936452,892.702929005,615.476279963,432.507975667,299.755860903,201.233240329,128.929963729,77.3272237728,41.8611217242,0
31DEC2025,CGP,CGP AG,MDD,PASSIF,TAUX,3932815838.48,4832647875.65,4448526163.38,4598099126.94,5202615285.42,175518631.638,176986654.263,179027670.343,180781788.651,182019671.665,182765477.35,182447566.022,182449848.073,181360975.936,179322136.318,176332238.677,172437325.367,168105003.879,163684903.28,158883780.681,153713228.978,148242358.128,142495866.737,136500371.857,130288130.555,123885736.287,117321872.038,110631251.972,103853274.163,97030680.1396,90208407.3515,83432314.6227,76748005.4534,70199631.2672,63828980.1176,57674638.6957,51771416.6721,46149841.3459,40835871.0242,35850778.5126,31208062.0879,26902784.3932,22944635.465,19346103.6753,16113187.7885,13245383.9389,10735847.0444,8571697.26829,6734513.43596,5201026.85674,3944024.0807,2933436.42711,2137567.55355,1524380.88884,1062748.6868,723559.237318,480591.3331,311094.640165,196054.522998,120162.009376,71544.0191032,41329.7244627,23133.7869757,12527.7951965,6552.85184199,3304.75143166,1603.89046645,747.608489304,334.00502823,142.729914041,58.2144618817,22.6118972438,8.34540197484,2.91872296165,0.963932874746,0.299427565237,0.0870609696837,0.0234239050668,0.00579500731852,0.00129173116252,0.00025456356053300003,4.3200129443500006e-05,5.62057228326e-06,5.33968231137e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
31DEC2025,CGP,CGP RS,RS,PASSIF,TAUX,1945158373.8,2329739709.82,2433093491.8,2352469874.53,2559943845.18,51354966.9804,54692746.184,58367742.3642,62073171.1965,64525508.8723,70265905.0514,71421190.6907,76381764.1326,81332333.0819,85088530.4635,88360223.7039,80527689.8893,87322859.7307,93088402.6075,94433854.3763,96858062.4382,99879377.2635,100425747.362,103451456.877,104907648.313,107052706.775,107143607.459,106529115.238,105509155.419,105876688.227,105625183.656,102902874.444,102775327.096,101079336.519,99942633.443,98356925.7535,94693030.7951,91215394.1834,87023625.4372,83033044.2688,79063085.538,72358497.0752,66309934.8577,60265704.3534,54721392.685,49608423.7925,44345147.4191,39885455.4171,36033156.6226,32933158.549,30282703.8939,27842653.267,25580173.6184,23430257.2536,21383314.5316,19440374.6918,17602408.9105,15870243.5847,14244363.6815,12724976.5739,11311823.2752,10004251.5203,8801070.4868,7700457.49939,6699978.57381,5796358.71586,4985706.79783,4263405.68989,3624546.37627,3063563.97911,2574685.81475,2151609.15643,1788175.3825,1477982.68104,1215227.70039,994075.760497,808982.841393,654870.345504,527150.401639,421807.352473,335108.661761,264564.23708,207688.84175,162197.102057,125650.838543,96224.8591331,72545.7965141,53664.7889066,38769.262822,27423.6785373,18838.4926783,12456.9490086,7990.79952058,5003.25712037,3112.37276837,2003.04620096,1324.26824658,910.98606182,634.401377132,446.301406727,309.275768151,207.9949533,132.578367416,77.3149401607,39.6908976582,0
